year,sequel,production_budget,S_australia_rev,X_australia_rev,S_austria_rev,X_austria_rev,S_belgium_rev,X_belgium_rev,S_brazil_rev,X_brazil_rev,S_bulgaria_rev,X_bulgaria_rev,S_chile_rev,X_chile_rev,S_czechrepublic_rev,X_czechrepublic_rev,S_finland_rev,X_finland_rev,S_france_rev,X_france_rev,S_germany_rev,X_germany_rev,S_greece_rev,X_greece_rev,S_hungary_rev,X_hungary_rev,S_iceland_rev,X_iceland_rev,S_italy_rev,X_italy_rev,S_lebanon_rev,X_lebanon_rev,S_mexico_rev,X_mexico_rev,S_netherlands_rev,X_netherlands_rev,S_newzealand_rev,X_newzealand_rev,S_norway_rev,X_norway_rev,S_poland_rev,X_poland_rev,S_portugal_rev,X_portugal_rev,S_singapore_rev,X_singapore_rev,S_spain_rev,X_spain_rev,S_turkey_rev,X_turkey_rev,S_unitedarabemirates_rev,X_unitedarabemirates_rev,S_unitedkingdom_rev,X_unitedkingdom_rev,S_us_rev,X_us_rev,t,title,prequeltitle,prequelT
2002,0,1.390e+08,.2311151,7.31e+07,.0173474,1.23e+07,.4069683,708554,.5920661,2.93e+07,.1730144,716455,.3899188,1.28e+07,.203718,4045366,.2027819,9778213,.3145357,1.05e+08,.2070642,1.48e+08,.3411678,1.09e+07,.1678098,6139021,.7654237,7050773,.3651453,5.71e+07,.4373239,623108,.5465425,5.71e+07,.1723951,2.38e+07,.217778,1.32e+07,.2830571,1.77e+07,.2798338,1.13e+07,.0296879,5330153,.255066,807434,.3187993,7.44e+07,.2288567,5995101,.5743038,1691105,.1967358,2.33e+08,.3178184,1.27e+09,1,"Spider-Man","NaN",0
2002,1,1.150e+08,.2549537,7.31e+07,.2707841,1.23e+07,.2743715,708554,.1433575,2.93e+07,.3033505,716455,.4294547,1.28e+07,.2158667,4045366,.2070442,9778213,.2928206,1.05e+08,.2342926,1.48e+08,.0741946,1.09e+07,.3933992,6139021,.0875185,7050773,.1443963,5.71e+07,.1712079,623108,.1540571,5.71e+07,.165514,2.38e+07,.1939528,1.32e+07,.0636447,1.77e+07,.1322974,1.13e+07,.2792357,5330153,.185204,807434,.2177011,7.44e+07,.1510679,5995101,.2441439,1691105,.2525263,2.33e+08,.2445807,1.27e+09,2,"Star Wars:Episode II - Attack of the Clones","NaN",0
2002,0,63000000,.1465444,7.31e+07,.0656635,1.23e+07,.0042297,708554,.0116838,2.93e+07,.0272536,716455,.0041182,1.28e+07,.015272,4045366,.0564693,9778213,.034282,1.05e+08,.0272498,1.48e+08,.0302078,1.09e+07,.016451,6139021,.0117033,7050773,.0174229,5.71e+07,.1507395,623108,.0191107,5.71e+07,.0698161,2.38e+07,.1058297,1.32e+07,.0777877,1.77e+07,.0062335,1.13e+07,.0902471,5330153,.0901077,807434,.0339976,7.44e+07,.0130887,5995101,.0577285,1691105,.1557451,2.33e+08,.1679269,1.27e+09,3,"Austin Powers in Goldmember","NaN",0
2002,1,94000000,.3673867,7.31e+07,.646205,1.23e+07,.3144305,708554,.2528926,2.93e+07,.4963815,716455,.1765082,1.28e+07,.5651432,4045366,.5337046,9778213,.3583617,1.05e+08,.5313935,1.48e+08,.5544298,1.09e+07,.42234,6139021,.1353545,7050773,.4730355,5.71e+07,.2407287,623108,.2802897,5.71e+07,.5922748,2.38e+07,.4824396,1.32e+07,.5755106,1.77e+07,.5816353,1.13e+07,.6008293,5330153,.4696223,807434,.4295019,7.44e+07,.6069868,5995101,.1238238,1691105,.3949929,2.33e+08,.269674,1.27e+09,4,"The Lord of the Rings:The Two Towers","NaN",0
2003,0,60000000,.0131248,7.60e+07,.0195697,1.93e+07,.0461561,1.18e+07,.0016979,2.09e+07,.0369401,961720,.0110153,1.15e+07,.0117961,4895341,.0033366,1.13e+07,.0132335,9.36e+07,.0195765,1.44e+08,.0249681,1.39e+07,.0404617,6304609,.0400571,2408110,.0399378,6.61e+07,.1066398,2686081,.073881,4.39e+07,.0076335,3.36e+07,.0052953,1.50e+07,.0080619,1.93e+07,.0135432,1.40e+07,.0062297,5194946,.0305872,2093097,.0303841,7.51e+07,.0331774,8598828,.1464843,1955452,.0109124,2.34e+08,.0385055,8.10e+08,5,"The Core","NaN",0
2003,1,76000000,.1198678,7.60e+07,.1251647,1.93e+07,.2519217,1.18e+07,.1423483,2.09e+07,.0897756,961720,.010906,1.15e+07,.0983817,4895341,.0477064,1.13e+07,.1350373,9.36e+07,.0734004,1.44e+08,.0898935,1.39e+07,.0931934,6304609,.0544929,2408110,.059718,6.61e+07,.2404525,2686081,.1740502,4.39e+07,.0828909,3.36e+07,.1049298,1.50e+07,.0742095,1.93e+07,.0614228,1.40e+07,.028894,5194946,.0887866,2093097,.0909537,7.51e+07,.07401,8598828,.1483575,1955452,.0535309,2.34e+08,.1569942,8.10e+08,6,"2 Fast 2 Furious","NaN",0
2003,0,1.370e+08,.0839543,7.60e+07,.0449498,1.93e+07,.2935199,1.18e+07,.1658533,2.09e+07,.0343728,961720,.0438919,1.15e+07,.0170342,4895341,.0471185,1.13e+07,.1256388,9.36e+07,.03003,1.44e+08,.0525259,1.39e+07,.0581806,6304609,.3414794,2408110,.1268158,6.61e+07,.2797953,2686081,.2691915,4.39e+07,.0279452,3.36e+07,.0720058,1.50e+07,.0528363,1.93e+07,.0266608,1.40e+07,.007919,5194946,.0314486,2093097,.1069749,7.51e+07,.063632,8598828,.0566687,1955452,.0594052,2.34e+08,.1631951,8.10e+08,7,"Hulk","NaN",0
2003,0,40000000,.0995822,7.60e+07,.1573872,1.93e+07,.0690183,1.18e+07,.0389988,2.09e+07,.0761261,961720,.0125117,1.15e+07,.1520967,4895341,.1838439,1.13e+07,.0851649,9.36e+07,.144786,1.44e+08,.0871577,1.39e+07,.1534311,6304609,.0844089,2408110,.0713707,6.61e+07,.2767043,2686081,.0743698,4.39e+07,.1259872,3.36e+07,.0724865,1.50e+07,.0815295,1.93e+07,.0999393,1.40e+07,.0269629,5194946,.1870511,2093097,.0851287,7.51e+07,.0379989,8598828,.3230522,1955452,.1331249,2.34e+08,.0346724,8.10e+08,8,"Johnny English","NaN",0
2003,0,40000000,.1837085,7.60e+07,.1104555,1.93e+07,.258741,1.18e+07,.1462015,2.09e+07,.0828287,961720,.0136708,1.15e+07,.0915009,4895341,.0808609,1.13e+07,.0691357,9.36e+07,.1000904,1.44e+08,.1373747,1.39e+07,.1492335,6304609,.0593187,2408110,.1239353,6.61e+07,.0331542,2686081,.0245134,4.39e+07,.1497663,3.36e+07,.131956,1.50e+07,.1290011,1.93e+07,.1892422,1.40e+07,.0148594,5194946,.3801463,2093097,.1211437,7.51e+07,.1572498,8598828,.0848397,1955452,.2678106,2.34e+08,.073705,8.10e+08,9,"Love Actually","NaN",0
2003,1,94000000,.4811314,7.60e+07,.5115075,1.93e+07,.0246253,1.18e+07,.4732476,2.09e+07,.6337614,961720,.9034484,1.15e+07,.6217036,4895341,.6261029,1.13e+07,.5172549,9.36e+07,.6079485,1.44e+08,.5783261,1.39e+07,.4669003,6304609,.392279,2408110,.5425552,6.61e+07,.0558434,2686081,.3559467,4.39e+07,.5699679,3.36e+07,.5928478,1.50e+07,.644554,1.93e+07,.567928,1.40e+07,.905113,5194946,.2543786,2093097,.5305104,7.51e+07,.5943438,8598828,.1410809,1955452,.4557137,2.34e+08,.4665145,8.10e+08,10,"The Lord of the Rings:The Return of the King","NaN",0
